diagnosis_id,diagnosis_name,diet_type,max_calorie,max_protein,max_fat,max_carbohydrate,max_sodium,max_sugar,max_potassium,max_phosphorus,allowed_texture,priority_level,pantangan_makanan,catatan_klinis
DG-001,Diabetes Mellitus Tipe 1,Diet Diabetes,1700,65,50,220,2000,15,3500,1000,Biasa,3,"Gula pasir, sirup, madu, selai manis, kue manis, minuman bersoda",Batasi asupan karbohidrat sederhana. Berikan porsi makan kecil tapi sering teratur dengan terapi insulin.
DG-002,Diabetes Mellitus Tipe 2,Diet Diabetes,1700,65,50,220,2000,15,3500,1000,Biasa,3,"Gula pasir, teh manis, sirup, kue manis, makanan indeks glikemik tinggi",Pemberian karbohidrat kompleks dengan indeks glikemik rendah. Monitor kadar gula darah mandiri secara rutin.
DG-003,Diabetes Gestasional,Diet Diabetes,1800,75,55,230,2000,15,3500,1000,Biasa,3,"Minuman manis, camilan tinggi gula, jus buah instan",Kebutuhan gizi ibu hamil harus tercapai sambil menjaga glukosa darah stabil. Hindari lonjakan glukosa darah pasca makan.
DG-004,Prediabetes,Diet Diabetes,1800,70,55,240,2000,20,3500,1000,Biasa,2,"Makanan cepat saji, gula rafinasi, minuman botol manis",Fokus pada pengurangan berat badan (bila overweight) dan peningkatan sensitivitas insulin via karbohidrat berserat tinggi.
DG-005,Hipoglikemia,Diet Diabetes,1900,70,60,260,2000,30,3500,1000,Biasa,3,"Melewatkan jam makan, konsumsi alkohol tanpa makanan",Jadwal makan harus tepat waktu. Selalu siapkan sumber glukosa cepat serap untuk penanganan darurat drop glukosa.
DG-006,Obesitas,Diet Rendah Kalori,1300,65,35,180,2000,15,3500,1000,Biasa,2,"Gorengan, junk food, mentega, jeroan, es krim, keju olahan",Diet defisit kalori terkontrol. Tingkatkan serat untuk memperlama rasa kenyang dan kurangi densitas kalori makanan.
DG-007,Overweight,Diet Rendah Kalori,1500,70,40,210,2000,20,3500,1000,Biasa,1,"Keripik asin/manis, minuman bersoda, kue kering, makanan berlemak jenuh tinggi",Modifikasi gaya hidup dan pengaturan porsi makan untuk mencapai berat badan ideal secara bertahap.
DG-008,Sindrom Metabolik,Diet Rendah Kalori,1400,70,35,195,1500,15,3500,1000,Biasa,2,"Kue, gorengan, mentega, margarin, makanan kaleng asin","Gabungan kontrol lingkar pinggang, tekanan darah, glukosa, dan lipid. Diet rendah lemak jenuh dan tinggi serat."
DG-009,Hipertiroid,Diet Tinggi Kalori,2600,95,75,370,2000,50,3500,1100,Biasa,2,"Kafein berlebih, suplemen yodium berlebih (bila ada anjuran dokter)",Diet tinggi energi tinggi protein (TETP) untuk mengimbangi hipermetabolisme dan mencegah penyusutan otot.
DG-010,Hipotiroid,Diet Seimbang,1800,70,50,260,2000,30,3500,1000,Biasa,1,"Makanan goitrogenik mentah berlebih (kubis, kembang kol mentah)",Pemberian nutrisi seimbang untuk mencegah kenaikan berat badan yang disebabkan oleh penurunan metabolisme basal.
KV-001,Hipertensi,Diet Rendah Garam,1800,70,50,250,1200,25,4000,1000,Biasa,3,"Garam meja berlebih, kecap asin, saus botolan, ikan asin, keripik asin, makanan kaleng",Terapkan diet DASH. Tingkatkan asupan kalium dari buah dan sayur segar untuk membantu menurunkan tekanan darah.
KV-002,Gagal Jantung Kongestif,Diet Rendah Garam,1700,65,45,255,1000,20,3500,900,Biasa,3,"Asupan cairan berlebih (bila edema), makanan olahan asin, keju asin",Batasi garam dan pantau keseimbangan cairan secara ketat untuk mencegah kelebihan beban volume cairan jantung.
KV-003,Penyakit Jantung Koroner,Diet Rendah Lemak,1800,70,35,290,1500,25,3500,1000,Biasa,3,"Lemak jenuh, daging berlemak, mentega, minyak kelapa sawit, gorengan",Batasi asam lemak jenuh dan lemak trans. Gunakan minyak zaitun atau minyak kanola dalam jumlah sangat terbatas.
KV-004,Pasca Serangan Jantung,Diet Jantung,1500,65,35,230,1200,15,3500,900,Lunak,3,"Kopi, teh kental, makanan bergas, makanan digoreng deep fry",Tekstur lunak di fase awal pemulihan. Hindari mengejan atau kembung yang dapat membebani kerja jantung.
KV-005,Dislipidemia,Diet Rendah Lemak,1800,70,35,295,1800,20,3500,1000,Biasa,2,"Kuning telur berlebih, jeroan, kulit ayam, susu full cream, santan",Ganti karbohidrat olahan dengan biji-bijian utuh berserat larut tinggi yang dapat mengikat kolesterol.
KV-006,Hiperkolesterolemia,Diet Rendah Lemak,1800,70,35,295,2000,20,3500,1000,Biasa,2,"Otak, cumi-cumi/udang berlebih, mentega, produk susu tinggi lemak",Kurangi asupan kolesterol makanan < 200 mg per hari dan tingkatkan konsumsi serat larut air (seperti oat).
KV-007,Hipertrigliseridemia,Diet Rendah Lemak,1700,70,35,270,2000,10,3500,1000,Biasa,2,"Alkohol, minuman manis, kue manis, gula pasir, fruktosa tambahan",Hipertrigliseridemia sangat sensitif terhadap karbohidrat sederhana dan alkohol. Batasi asupan gula sederhana secara ketat.
KV-008,Stroke Iskemik,Diet Jantung,1800,70,40,285,1300,20,3500,1000,Biasa,2,"Daging olahan, sosis, kornet, makanan asin, makanan tinggi lemak jenuh","Evaluasi kemampuan menelan pasien (waspadai disfagia tersembunyi). Jika ada gangguan menelan, ubah tekstur ke lunak/cair."
KV-009,Stroke Hemoragik,Diet Jantung,1700,70,40,265,1200,15,3500,950,Lunak,3,"Makanan yang memicu lonjakan tekanan darah, garam berlebih, minuman kafein",Kontrol tekanan darah secara ketat melalui diet rendah garam. Tekstur lunak dianjurkan pada fase akut.
KV-010,Aterosklerosis,Diet Jantung,1800,70,35,300,1500,25,3500,1000,Biasa,2,"Lemak trans, margarin, makanan dipanggang/goreng komersial",Tingkatkan makanan kaya antioksidan (buah dan sayur berwarna) serta asam lemak omega-3 dari ikan.
GJ-001,CKD Stadium 1,Diet Ginjal,1900,60,55,290,1800,30,3000,900,Biasa,3,"Garam berlebih, suplemen protein tinggi, belimbing",Batasi asupan protein sedang (0.8 g/kgBB/hari) untuk melambatkan penurunan fungsi ginjal.
GJ-002,CKD Stadium 2,Diet Ginjal,1900,60,55,290,1800,30,3000,900,Biasa,3,"Garam berlebih, belimbing, kaldu daging pekat",Mulai monitoring laju filtrasi glomerulus. Batasi protein hewani berlebih.
GJ-003,CKD Stadium 3,Diet Ginjal,1850,50,55,290,1500,25,2000,800,Biasa,3,"Jeroan, keripik asin, buah tinggi kalium (pisang, air kelapa), belimbing",Diet rendah protein ketat (0.6 g/kgBB/hari). Monitor ketat kadar kalium dan fosfor darah.
GJ-004,CKD Stadium 4,Diet Ginjal,1800,40,50,295,1500,25,1800,700,Biasa,3,"Produk susu (susu, keju, yoghurt), cokelat, pisang, alpukat, belimbing",Protein dibatasi sangat ketat (0.4-0.6 g/kgBB). Rekomendasi tambahan asam amino esensial jika diinstruksikan dokter.
GJ-005,CKD Stadium 5,Diet Ginjal,1800,40,50,295,1500,25,1500,600,Biasa,3,"Makanan instan pengawet fosfat, pisang, tomat, kentang (tanpa leaching), belimbing",Stadium akhir non-dialisis. Kontrol ketat akumulasi racun uremik dan elektrolit kalium/fosfor.
GJ-006,Hemodialisis,Diet Ginjal Dialisis,2000,85,60,280,1500,30,2000,800,Biasa,3,"Asupan cairan berlebih di antara dua sesi dialisis, kacang-kacangan tinggi fosfor","Diet tinggi protein untuk mengganti asam amino yang hilang saat cuci darah, namun tetap batasi kalium, fosfor, dan natrium."
GJ-007,Peritoneal Dialisis,Diet Ginjal Dialisis,1900,90,60,250,1800,20,2500,900,Biasa,3,"Cairan berlebih, makanan tinggi fosfor",Kebutuhan protein lebih tinggi dibanding hemodialisis karena kehilangan protein via dialisat peritoneal lebih besar.
GJ-008,Acute Kidney Injury,Diet Ginjal,1800,50,50,285,1500,25,1800,800,Lunak,3,"Garam tinggi, makanan olahan, belimbing",Sesuaikan asupan zat gizi berdasarkan fase AKI (oliguria vs diuresis) serta status katabolik pasien.
GJ-009,Nefrotik Syndrome,Diet Ginjal,2000,70,40,340,1200,30,3500,900,Biasa,3,"Makanan asin, mentega, margarin, jeroan (karena risiko hiperlipidemia sekunder)","Berikan protein sedang (bukan tinggi) untuk menghindari hiperfiltrasi glomerulus, batasi garam karena edema berat."
GJ-010,Batu Ginjal,Diet Batu Ginjal,1900,70,55,280,1800,35,3500,1000,Biasa,2,"Bayam, teh hitam kental, kacang tanah, cokelat (jika batu oksalat); jeroan (jika batu asam urat)",Anjurkan minum air putih yang sangat banyak (> 2.5 - 3 liter per hari) dan asupan kalsium makanan yang cukup.
GI-001,GERD,Diet Lambung,1900,70,45,300,2000,40,3500,1000,Lunak,2,"Kopi, cokelat, mint/mentol, makanan pedas, asam, makanan digoreng/lemak tinggi",Hindari makanan yang melemaskan sfingter esofagus bawah. Hindari makan berlebih atau berbaring langsung setelah makan.
GI-002,Gastritis,Diet Lambung,1900,65,45,310,2000,40,3500,1000,Lunak,2,"Sambal, lada, cuka, jeruk asam, kopi, alkohol, minuman bersoda",Beri makanan saring atau lunak yang tidak merangsang sekresi asam lambung berlebih. Porsi kecil tapi sering.
GI-003,Tukak Lambung,Diet Lambung,1900,70,45,300,2000,35,3500,1000,Lunak,3,"Makanan pedas, bumbu tajam, kopi, alkohol, buah asam, makanan bertekstur kasar",Fokus pada makanan yang menenangkan mukosa lambung dan mempercepat pemulihan luka lambung.
GI-004,Dispepsia,Diet Lambung,1950,70,45,315,2000,45,3500,1000,Lunak,2,"Ketan, ubi jalar, kubis, sawi (makanan memicu kembung/gas), gorengan",Diet lambung bebas gas. Hindari makanan yang sulit dicerna dan lambat dikosongkan dari lambung.
GI-005,Esofagitis,Diet Lambung,1850,70,45,290,2000,35,3500,1000,Lunak,2,"Makanan kering/kasar, kerupuk, jeruk, tomat, pedas, panas suhu ekstrim",Berikan makanan lunak/cair dingin atau bersuhu ruang untuk mengurangi nyeri gesekan pada esofagus.
GI-006,Diare Akut,Diet Rendah Serat,1800,65,40,295,2500,30,3500,1000,Lunak,3,"Sayuran berserat kasar, buah dengan kulit, susu/laktosa, makanan pedas",Terapkan diet rendah serat (rendah sisa) untuk mengistirahatkan usus. Prioritaskan hidrasi dan elektrolit oralit.
GI-007,Diare Kronis,Diet Rendah Serat,1800,70,40,290,2200,25,3500,1000,Lunak,3,"Susu, keju, makanan berserat tinggi, makanan berlemak jenuh tinggi",Cari penyebab utama malabsorpsi. Hindari laktosa dan gluten jika dicurigai sebagai pemicu diare.
GI-008,Konstipasi,Diet Tinggi Serat,2000,70,55,305,2000,45,3500,1000,Biasa,2,"Makanan rendah serat, roti putih, pisang muda, apel tanpa kulit","Tingkatkan serat makanan secara bertahap dari buah, sayur, dedak gandum. Tingkatkan konsumsi air putih secara drastis."
GI-009,Irritable Bowel Syndrome,Diet IBS,1900,70,45,300,2000,15,3500,1000,Biasa,3,"Gandum, bawang merah, bawang putih, apel, mangga, madu, susu sapi (makanan tinggi FODMAP)",Terapkan diet rendah FODMAP. Hindari bahan makanan difermentasi yang dapat merangsang kram perut dan kembung.
GI-010,Crohn Disease,Diet IBS,2200,90,50,345,2000,20,3500,1000,Lunak,3,"Kacang-kacangan kasar, jagung, popcorn, sayuran mentah, pedas",Fase aktif membutuhkan diet rendah serat/sisa and tinggi protein untuk memperbaiki kerusakan mukosa usus halus.
GI-011,Ulcerative Colitis,Diet IBS,2100,90,50,320,2000,20,3500,1000,Lunak,3,"Biji-bijian utuh kasar, nanas, kelapa, cabai, makanan berlemak hewani tinggi",Mirip dengan Crohn. Minimalkan iritasi mekanis pada usus besar. Suplemen zat besi mungkin diperlukan bila ada perdarahan.
GI-012,Malabsorpsi,Diet Khusus,2000,85,30,345,2000,20,3500,1000,Lunak,3,"Minyak/lemak berlebih, makanan sulit dicerna",Batasi asupan lemak. Gunakan Medium Chain Triglycerides (MCT) jika diinstruksikan oleh dokter/ahli gizi.
HE-001,Hepatitis,Diet Hati,2100,80,50,330,1800,30,3500,1000,Lunak,3,"Alkohol, pengawet makanan, daging kambing berlemak, makanan digoreng berulang","Diet tinggi energi tinggi protein (TETP) untuk regenerasi sel hati, lemak diberikan cukup yang mudah diemulsikan."
HE-002,Sirosis Hepatis,Diet Hati,2000,60,40,350,1000,25,3000,900,Lunak,3,"Natrium tinggi, makanan keras/kasar (risiko varises esofagus), alkohol",Batasi protein jika ada tanda ensefalopati hepatikum (pre-koma). Batasi natrium sangat ketat jika ada asites.
HE-003,Fatty Liver,Diet Rendah Lemak,1600,75,30,255,2000,15,3500,1000,Biasa,2,"Gorengan, mentega, junk food, minuman manis sirup fruktosa tinggi, alkohol",Turunkan berat badan secara bertahap. Kurangi karbohidrat sederhana dan lemak jenuh.
HE-004,Cholecystitis,Diet Rendah Lemak,1700,70,25,295,2000,30,3500,1000,Lunak,3,"Kuning telur, santan kental, keju, cokelat, gorengan, minyak kelapa",Diet sangat rendah lemak untuk mengistirahatkan kantung empedu dan mencegah timbulnya kolik bilier.
HE-005,Batu Empedu,Diet Rendah Lemak,1700,70,25,295,2000,30,3500,1000,Biasa,2,"Makanan digoreng, daging berlemak jenuh, jeroan, saus krim",Batasi asupan lemak untuk mencegah kontraksi menyakitkan dari kantung empedu.
HE-006,Kanker Hati,Diet Tinggi Protein,2300,95,60,345,1500,30,3500,1100,Lunak,3,"Bahan pengawet, MSG berlebih, alkohol, kerang mentah/setengah matang",Fokus pada pencegahan cachexia (penyusutan otot) tanpa membebani kapasitas hati dalam memetabolisme protein.
NE-001,Disfagia,Diet Cair/Lunak,1800,70,50,265,2000,40,3500,1000,Lunak,3,"Makanan kering remah, biskuit, air putih encer (tanpa pengental), daging liat","Risiko tinggi aspirasi paru. Gunakan bahan pengental (thickener) untuk cairan, utamakan tekstur pure/saring halus."
NE-002,Stroke dengan Disfagia,Diet Lunak,1800,70,45,280,1300,30,3500,1000,Lunak,3,"Kerupuk, kacang goreng, nasi kering, cairan encer tanpa pengental",Kombinasi pembatasan natrium dan penyesuaian tekstur lunak/halus untuk mencegah aspirasi.
NE-003,Parkinson,Diet Lunak,1900,65,55,285,2000,40,3500,1000,Lunak,2,"Makanan yang sulit dikunyah, potongan daging besar",Batasi protein di siang hari jika berinteraksi dengan obat levodopa (berikan porsi protein utama di malam hari).
NE-004,Alzheimer,Diet Lunak,1900,70,60,270,2000,40,3500,1000,Lunak,2,"Makanan berduri, biji buah utuh, makanan kompleks sulit dikunyah",Sajikan makanan satu per satu dalam porsi kecil menarik yang mudah diambil dengan tangan (finger food) jika pasien lupa cara pakai sendok.
NE-005,Demensia,Diet Lunak,1900,70,60,270,2000,40,3500,1000,Lunak,2,"Potongan makanan berukuran besar, buah berbiji keras",Pantau asupan makanan secara visual. Ingatkan pasien untuk mengunyah dan menelan makanan dengan sabar.
RS-001,COPD,Diet Tinggi Kalori,2400,85,75,345,1800,30,3500,1050,Biasa,2,"Kubis, brokoli, bawang (makanan pemicu gas/kembung yang mendesak diafragma)",Gunakan rasio kalori tinggi lemak dan rendah karbohidrat untuk menurunkan produksi karbondioksida (CO2) respirasi.
RS-002,Pneumonia,Diet Tinggi Protein,2200,95,60,320,2000,35,3500,1100,Lunak,2,"Cairan dingin ekstrem, gorengan keras, makanan pedas menyengat tenggorokan",Tingkatkan protein untuk mendukung sistem kekebalan tubuh memerangi infeksi paru-paru aktif.
RS-003,Tuberkulosis,Diet Tinggi Kalori Tinggi Protein,2600,100,75,380,2000,45,3500,1100,Biasa,2,"Teh hitam pekat, kopi, alkohol, makanan minim gizi",Dukungan nutrisi TETP agresif untuk mengatasi sindrom penurunan berat badan drastis akibat infeksi kronis TBC.
RS-004,Asma,Diet Seimbang,1900,75,55,275,1800,30,3500,1000,Biasa,1,"Makanan yang mengandung pengawet sulfit (seperti buah kering tertentu), udang (bila ada alergi)",Pastikan diet kaya omega-3 dan magnesium yang memiliki efek relaksasi otot bronkus alami.
RS-005,COVID-19,Diet Tinggi Protein,2100,95,55,305,2000,30,3500,1100,Lunak,2,"Makanan olahan rendah gizi, minuman soda manis",Asupan protein adekuat untuk meminimalkan degradasi massa otot selama masa isolasi dan demam.
OK-001,Kanker Payudara,Diet Tinggi Protein,2200,90,50,345,2000,30,3500,1000,Biasa,2,"Daging merah bakar gosong, lemak jenuh tinggi, alkohol",Cukupi kebutuhan protein harian. Sertakan banyak sayur kubis-kubisan (cruciferous) yang kaya fitonutrien.
OK-002,Kanker Kolorektal,Diet Tinggi Protein,2100,90,45,335,1800,25,3500,1000,Lunak,3,"Daging merah olahan (sosis, kornet), daging bakar arang, makanan rendah serat",Sesuaikan tekstur dan kadar serat berdasarkan ada tidaknya obstruksi usus atau pasca operasi reseksi kolon.
OK-003,Kanker Lambung,Diet Tinggi Protein,2100,95,45,330,1500,20,3500,1000,Lunak,3,"Makanan asin/diasinkan, makanan dibakar, makanan pedas/asam menyengat",Sajikan makanan saring/lunak porsi kecil namun sangat sering (dumping syndrome prevention).
OK-004,Kanker Paru,Diet Tinggi Protein,2300,95,65,335,2000,35,3500,1050,Biasa,2,"Makanan yang memicu gas lambung berlebih, makanan cepat saji berlemak trans",Cukupi kalori padat gizi untuk mencegah hilangnya jaringan adiposa dan otot pernapasan.
OK-005,Leukemia,Diet Tinggi Protein,2200,95,55,330,2000,35,3500,1000,Lunak,3,"Lalapan mentah, telur setengah matang, sushi/sashimi mentah, buah mentah kulit tipis tanpa kupas (diet neutropenik)",Terapkan Diet Neutropenik ketat. Semua makanan wajib matang sempurna demi mencegah infeksi bakteri patogen.
OK-006,Limfoma,Diet Tinggi Protein,2200,95,55,330,2000,35,3500,1000,Biasa,2,"Makanan setengah matang, salad bar mentah (waspada kontaminasi kuman)",Pantau status imunitas. Sajikan makanan bersih higienis dengan protein kualitas biologi tinggi.
OK-007,Pasien Kemoterapi,Diet Tinggi Protein,2000,90,50,300,2000,30,3500,1000,Lunak,3,"Makanan berbau tajam menyengat (memicu mual), makanan digoreng berminyak, pedas",Atasi efek mual muntah (anoreksia). Berikan makanan porsi kecil dingin atau suhu ruang yang tidak merangsang mual.
OK-008,Pasien Radioterapi,Diet Tinggi Protein,2000,90,50,300,2000,30,3500,1000,Lunak,3,"Makanan asam keras, kerupuk tajam, jus jeruk asam (bila radiasi area leher/mulut)","Jika radiasi di area kepala/leher, waspadai mucositis (luka mulut) dan mulut kering. Sediakan makanan berkuah/halus."
BD-001,Pasca Operasi Mayor,Diet Tinggi Protein,2300,100,60,340,2000,35,3500,1100,Lunak,3,"Makanan padat keras langsung setelah sadar, makanan bergas tinggi",Tingkatkan asam amino untuk mempercepat penyembuhan sayatan bedah besar dan regenerasi jaringan.
BD-002,Pasca Operasi Minor,Diet Tinggi Protein,2000,85,55,290,2000,35,3500,1000,Biasa,2,"Makanan minim gizi, alkohol",Dukungan protein cukup untuk pemulihan jaringan cepat pasca tindakan bedah kecil.
BD-003,Pasca Caesar,Diet Tinggi Protein,2200,95,55,330,2000,30,3500,1050,Lunak,2,"Makanan pedas menyengat lambung, jamu-jamuan tanpa resep medis",Fokus penyembuhan luka operasi dan persiapan laktasi ibu menyusui. Berikan protein kualitas tinggi.
BD-004,Luka Bakar,Diet Tinggi Kalori Tinggi Protein,2800,110,80,410,2200,40,3500,1200,Biasa,3,"Makanan rendah kalori, makanan olahan kosong",Hipermetabolisme ekstrem! Pasien membutuhkan asupan kalori dan protein masif untuk mencegah malnutrisi akut pasca luka bakar.
BD-005,Trauma Berat,Diet Tinggi Kalori Tinggi Protein,2700,110,75,395,2000,35,3500,1200,Lunak,3,"Makanan sulit dicerna, makanan olahan rendah gizi",Kondisi katabolik tinggi. Cukupi kebutuhan kalori dan protein hewani cepat serap.
BD-006,Fraktur,Diet Tinggi Protein,2100,90,60,300,2000,35,3500,1100,Biasa,2,"Minuman beralkohol, kafein berlebih (menghambat absorbsi kalsium)","Tingkatkan kalsium, fosfor, vitamin D, dan protein untuk mendukung deposisi matriks tulang baru."
NK-001,Malnutrisi Ringan,Diet Tinggi Kalori,2400,80,65,375,2000,45,3500,1000,Biasa,2,Makanan porsi besar rendah kalori (seperti sup encer tanpa isi),Tingkatkan kepadatan kalori dalam makanan tanpa menambah volume porsi berlebih.
NK-002,Malnutrisi Sedang,Diet Tinggi Kalori,2500,85,70,380,2000,45,3500,1050,Lunak,2,"Camilan rendah gizi, gorengan minyak kotor",Berikan makanan dengan tekstur lunak padat gizi jika pasien memiliki kelemahan fisik umum.
NK-003,Malnutrisi Berat,Diet Tinggi Kalori Tinggi Protein,2700,105,75,400,1500,30,3000,1000,Lunak,3,Makanan padat langsung volume tinggi (risiko refeeding syndrome),"Waspada Refeeding Syndrome! Berikan asupan secara bertahap dan monitor elektrolit kalium, fosfor, magnesium."
NK-004,Cachexia,Diet Tinggi Kalori Tinggi Protein,2600,100,75,380,1800,40,3500,1100,Lunak,3,"Makanan rendah kalori, porsi makan terlalu besar sekaligus",Anoreksia berat umum menyertai. Berikan makanan padat nutrisi porsi kecil namun berulang sepanjang hari.
NK-005,Protein Energy Malnutrition,Diet Tinggi Protein,2400,100,65,350,1800,35,3500,1100,Lunak,3,Makanan olahan rendah protein,"Fokus pemulihan defisit asam amino tubuh. Berikan putih telur, daging tanpa lemak, ikan tim."
PD-001,Anemia Defisiensi Besi,Diet Tinggi Zat Besi,1900,80,55,270,2000,35,3500,1000,Biasa,2,"Teh pekat, kopi, susu berlebih saat makan (karena kandungan tanin & kalsium menghambat absorbsi zat besi)","Berikan makanan kaya besi heme (hati sapi, daging merah) dan dampingi dengan sumber vitamin C untuk meningkatkan penyerapan."
PD-002,Talasemia,Diet Khusus,1900,75,55,275,2000,35,3500,1000,Biasa,3,"Daging merah, hati, kerang, makanan yang difortifikasi zat besi tinggi (karena risiko kelebihan beban besi/hemosiderosis)",Diet rendah zat besi. Anjurkan minum teh saat makan untuk membantu menghambat penyerapan zat besi non-heme.
PD-003,Leukemia,Diet Tinggi Protein,2200,95,55,330,2000,35,3500,1000,Lunak,3,"Lalapan mentah, telur setengah matang, sushi/sashimi mentah, buah mentah kulit tipis tanpa kupas (diet neutropenik)",Terapkan Diet Neutropenik ketat. Semua makanan wajib matang sempurna demi mencegah infeksi bakteri patogen.
AU-001,Hiperurisemia,Diet Rendah Purin,1800,65,45,285,2000,20,3500,1000,Biasa,2,"Jeroan (hati, ginjal, babat), kerang, kepiting, sarden, kaldu daging pekat, bir/alkohol",Batasi asupan purin < 150 mg per hari. Anjurkan asupan cairan tinggi untuk ekskresi asam urat.
AU-002,Gout Arthritis,Diet Rendah Purin,1800,65,40,295,2000,15,3500,1000,Biasa,3,"Emping melinjo, kerang, ikan teri, jeroan, alkohol",Fase akut nyeri sendi. Hindari purin tinggi secara ketat dan kurangi konsumsi lemak jenuh.
AL-001,Alergi Susu,Dairy-Free Diet,1900,75,55,275,2000,35,3500,1000,Biasa,3,"Susu sapi, keju, mentega, yoghurt, whey protein, kasein",Sistem wajib mengeliminasi semua produk olahan susu dari menu diet pasien.
AL-002,Alergi Telur,Egg-Free Diet,1900,75,55,275,2000,35,3500,1000,Biasa,3,"Telur ayam, telur bebek, mayones, kue berbahan telur",Eliminasi telur dan produk turunannya secara total untuk mencegah syok anafilaksis.
AL-003,Alergi Seafood,Seafood-Free Diet,1900,75,55,275,2000,35,3500,1000,Biasa,3,"Udang, kepiting, cumi-cumi, kerang, lobster, ikan laut tertentu",Hindari kontaminasi silang alat masak seafood dengan masakan pasien.
AL-004,Alergi Kacang,Nut-Free Diet,1900,75,55,275,2000,35,3500,1000,Biasa,3,"Kacang tanah, almond, kacang mete, selai kacang, minyak kacang",Reaksi alergi kacang dapat berakibat fatal. Sistem harus memindai seluruh bahan makanan katering.
AL-005,Alergi Kedelai,Soy-Free Diet,1900,75,55,275,2000,35,3500,1000,Biasa,3,"Tahu, tempe, kecap manis/asin, susu kedelai, edamame, lesitin kedelai",Kedelai adalah alergen umum. Ganti protein nabati dengan alternatif non-soy.
AL-006,Celiac Disease,Gluten-Free Diet,1900,75,55,275,2000,35,3500,1000,Biasa,3,"Tepung terigu, roti, mi, pasta, biskuit, oat (yang terkontaminasi gluten)","Gunakan tepung beras, jagung, atau singkong (gluten-free) untuk menjaga kesehatan vili usus pasien."
AL-007,Intoleransi Laktosa,Lactose-Free Diet,1900,75,55,275,2000,35,3500,1000,Biasa,3,"Susu sapi segar, es krim, keju segar lembut, yoghurt non-lactose free","Ganti produk susu dengan susu bebas laktosa atau susu nabati (almond milk, soy milk)."
